File name,algorithm,Time spent,Memory used,Total distance
berlin52,nn,2.26,0.16,8182.19
berlin52,ts,0.89,0.01,13314.67
berlin52,ga,373.59,32.63,24053.79
berlin52,sa,1.08,0.3,15081.05
berlin52,ac,40.04,3.41,15830.96
pr76,nn,6.96,0.01,130921.0
pr76,ts,1.2,0.01,150779.86
pr76,ga,729.99,22.16,505097.98
pr76,sa,1.21,0.64,270198.85
pr76,ac,61.8,1.85,318769.26
ulysses22,nn,1.56,0.04,86.91
ulysses22,ts,0.95,0.02,92.96
ulysses22,ga,201.52,0.02,115.37
ulysses22,sa,1.14,0.0,93.53
ulysses22,ac,16.45,0.16,84.3
att48,nn,3.14,0.0,39236.88
att48,ts,0.99,0.0,73576.9
att48,ga,480.23,3.59,117423.01
att48,sa,1.19,0.13,57340.83
att48,ac,36.8,0.4,69620.31
st70,nn,6.03,0.01,761.69
st70,ts,1.02,0.01,1592.42
st70,ga,694.67,1.83,3061.1
st70,sa,1.16,0.12,1847.2
st70,ac,51.51,0.36,1965.39
rat99,nn,10.09,0.01,1369.53
rat99,ts,1.09,0.0,2118.7
rat99,ga,1018.6,6.68,6539.46
rat99,sa,1.44,0.65,3989.35
rat99,ac,79.89,1.71,4295.87
