numero do experimento,File name,algorithm,Time spent,Memory used,Total distance,,numero do experimento,File name,algorithm,Time spent,Memory used,Total distance,,numero do experimento,File name,algorithm,Time spent,Memory used,Total distance
1,kroA100,nn,11.01,0.0,24698.5,,2,kroA100,nn,11.2,0.14,24698.5,,3,kroA100,nn,10.83,0.0,24698.5
1,kroA100,ts,1.34,0.0,72396.53,,2,kroA100,ts,1.25,0.01,70429.75,,3,kroA100,ts,1.34,0.01,83828.22
1,kroA100,ga,10.44,0.25,154336.97,,2,kroA100,ga,10.77,2.81,150030.56,,3,kroA100,ga,10.21,0.15,152155.79
1,kroA100,sa,0.95,0.0,76029.85,,2,kroA100,sa,0.95,0.0,80440.57,,3,kroA100,sa,0.93,0.0,81484.54
1,kroA100,ac,84.33,20.55,78802.97,,2,kroA100,ac,80.86,27.16,74987.46,,3,kroA100,ac,81.1,0.16,81725.09
1,eil101,nn,11.55,0.32,736.37,,2,eil101,nn,11.32,0.12,736.37,,3,eil101,nn,11.06,0.0,736.37
1,eil101,ts,1.16,0.07,1472.33,,2,eil101,ts,1.22,0.0,1455.38,,3,eil101,ts,1.13,0.0,1556.04
1,eil101,ga,10.72,0.11,3078.99,,2,eil101,ga,11.12,0.05,3149.33,,3,eil101,ga,10.59,0.04,3041.38
1,eil101,sa,01.05,0.0,1604.04,,2,eil101,sa,1.22,0.0,1697.33,,3,eil101,sa,0.97,0.0,1848.09
1,eil101,ac,85.07,0.48,1898.29,,2,eil101,ac,82.19,0.2,2017.31,,3,eil101,ac,81.26,0.15,2055.59
1,ch130,nn,10.04,0.22,7198.74,,2,ch130,nn,11.27,0.22,7198.74,,3,ch130,nn,9.67,0.21,7198.74
1,ch130,ts,01.05,0.02,22375.1,,2,ch130,ts,1.22,0.02,23401.31,,3,ch130,ts,1.82,3.48,23494.1
1,ch130,ga,10.82,0.43,43606.88,,2,ch130,ga,12.13,0.34,43576.22,,3,ch130,ga,10.77,0.34,42548.97
1,ch130,sa,0.94,0.0,22126.56,,2,ch130,sa,1.31,0.0,23630.48,,3,ch130,sa,1.54,0.0,22796.13
1,ch130,ac,114.02,27.1,23294.61,,2,ch130,ac,118.36,15.57,25010.51,,3,ch130,ac,109.79,4.15,25640.81
1,ch150,nn,13.34,0.07,7078.44,,2,ch150,nn,13.5,0.12,7078.44,,3,ch150,nn,13.0,0.09,7078.44
1,ch150,ts,1.46,0.02,27392.76,,2,ch150,ts,1.35,0.0,28709.06,,3,ch150,ts,1.32,0.0,26427.94
1,ch150,ga,13.85,0.11,51158.44,,2,ch150,ga,13.82,0.01,49543.17,,3,ch150,ga,13.6,0.05,49432.71
1,ch150,sa,1.0,0.0,28949.22,,2,ch150,sa,1.12,0.0,28406.43,,3,ch150,sa,0.9,0.0,26617.1
1,ch150,ac,134.94,0.56,30466.54,,2,ch150,ac,135.88,01.08,29931.18,,3,ch150,ac,132.72,0.32,30218.56
