numero do experimento,File name,algorithm,Time spent,Memory used,Total distance,,numero do experimento,File name,algorithm,Time spent,Memory used,Total distance,,numero do experimento,File name,algorithm,Time spent,Memory used,Total distance
1,ulysses22,nn,1.01,0.22,86.91,,2,ulysses22,nn,01.06,0.2,86.91,,3,ulysses22,nn,01.04,0.01,86.91
1,ulysses22,ts,0.79,0.01,90.9,,2,ulysses22,ts,0.94,0.01,91.17,,3,ulysses22,ts,0.94,0.01,80.03
1,ulysses22,ga,1.92,0.03,126.29,,2,ulysses22,ga,1.99,0.03,108.47,,3,ulysses22,ga,02.01,0.0,118.92
1,ulysses22,sa,0.87,0.01,80.59,,2,ulysses22,sa,0.83,0.0,94.5,,3,ulysses22,sa,0.94,0.0,79.73
1,ulysses22,ac,15.78,0.43,82.29,,2,ulysses22,ac,17.02,1.13,81.81,,3,ulysses22,ac,16.73,0.48,82.93
1,att48,nn,3.04,0.22,39236.88,,2,att48,nn,3.72,0.22,39236.88,,3,att48,nn,3.39,0.0,39236.88
1,att48,ts,0.94,0.02,57022.07,,2,att48,ts,01.05,0.02,58537.79,,3,att48,ts,1.0,0.0,72640.39
1,att48,ga,4.79,0.04,129602.56,,2,att48,ga,5.21,0.04,144668.61,,3,att48,ga,7.96,0.0,121524.93
1,att48,sa,0.82,0.0,53244.3,,2,att48,sa,01.05,30.91,59069.75,,3,att48,sa,01.04,0.02,61771.67
1,att48,ac,36.18,0.83,69714.14,,2,att48,ac,36.69,3.46,71181.59,,3,att48,ac,36.52,0.25,71339.42
1,berlin52,nn,2.3,0.2,8182.19,,2,berlin52,nn,2.32,0.22,8182.19,,3,berlin52,nn,2.62,0.22,8182.19
1,berlin52,ts,0.85,0.02,13537.11,,2,berlin52,ts,0.96,0.02,12810.08,,3,berlin52,ts,1.14,0.02,13910.56
1,berlin52,ga,3.61,0.03,26745.79,,2,berlin52,ga,04.08,0.04,25064.05,,3,berlin52,ga,4.7,5.83,25306.69
1,berlin52,sa,0.91,0.0,12433.18,,2,berlin52,sa,0.87,0.01,13535.04,,3,berlin52,sa,01.01,0.01,14528.09
1,berlin52,ac,38.8,0.76,16210.25,,2,berlin52,ac,39.37,30.71,16117.6,,3,berlin52,ac,36.97,1.55,16298.74
1,st70,nn,5.5,0.23,761.69,,2,st70,nn,5.92,0.0,761.69,,3,st70,nn,5.79,0.0,761.69
1,st70,ts,1.0,0.04,1489.98,,2,st70,ts,1.2,0.0,1599.4,,3,st70,ts,01.09,0.0,1694.24
1,st70,ga,6.84,0.21,3329.31,,2,st70,ga,7.46,0.04,3341.84,,3,st70,ga,6.77,0.07,3357.99
1,st70,sa,0.91,0.01,1604.01,,2,st70,sa,0.87,0.0,1686.83,,3,st70,sa,0.87,0.0,1598.09
1,st70,ac,52.55,0.52,1751.16,,2,st70,ac,51.15,0.14,1764.27,,3,st70,ac,53.23,0.73,1923.13
1,pr76,nn,6.75,0.2,130921.0,,2,pr76,nn,7.0,0.09,130921.0,,3,pr76,nn,6.59,0.0,130921.0
1,pr76,ts,1.23,0.0,150779.86,,2,pr76,ts,1.11,0.01,150779.86,,3,pr76,ts,1.1,0.0,150779.86
1,pr76,ga,7.47,0.27,525221.83,,2,pr76,ga,7.96,0.16,486901.91,,3,pr76,ga,8.27,0.17,502821.13
1,pr76,sa,0.88,0.0,249908.99,,2,pr76,sa,0.98,0.0,257680.5,,3,pr76,sa,1.0,0.01,238347.84
1,pr76,ac,60.22,23.94,307896.64,,2,pr76,ac,58.68,0.4,314258.48,,3,pr76,ac,58.4,23.29,312147.53
1,rat99,nn,10.28,0.24,1369.53,,2,rat99,nn,11.57,0.0,1369.53,,3,rat99,nn,10.5,0.14,1369.53
1,rat99,ts,1.14,0.01,2103.86,,2,rat99,ts,1.26,0.0,2084.06,,3,rat99,ts,1.4,0.02,2097.92
1,rat99,ga,10.26,0.38,7907.9,,2,rat99,ga,10.15,0.09,7324.62,,3,rat99,ga,10.24,0.13,7280.6
1,rat99,sa,1.07,0.0,3889.79,,2,rat99,sa,0.96,0.0,3767.22,,3,rat99,sa,0.93,0.0,4093.19
1,rat99,ac,80.07,29.48,4419.91,,2,rat99,ac,77.35,0.36,4163.1,,3,rat99,ac,78.71,15.89,4221.14
