File name,algorithm,mean_time_spent,mean_memory_used,mean_total_distance
att48,ac,36.46,1.51,70745.05
att48,ga,5.99,0.03,131932.03
att48,nn,3.38,0.15,39236.88
att48,sa,0.97,10.31,58028.57
att48,ts,1.0,0.01,62733.42
berlin52,ac,38.38,11.01,16208.86
berlin52,ga,4.13,1.97,25705.51
berlin52,nn,2.41,0.21,8182.19
berlin52,sa,0.93,0.01,13498.77
berlin52,ts,0.98,0.02,13419.25
pr76,ac,59.1,15.88,311434.22
pr76,ga,7.9,0.2,504981.62
pr76,nn,6.78,0.1,130921.0
pr76,sa,0.95,0.0,248645.78
pr76,ts,1.15,0.0,150779.86
rat99,ac,78.71,15.24,4268.05
rat99,ga,10.22,0.2,7504.37
rat99,nn,10.78,0.13,1369.53
rat99,sa,0.99,0.0,3916.73
rat99,ts,1.27,0.01,2095.28
st70,ac,52.31,0.46,1812.85
st70,ga,7.02,0.11,3343.05
st70,nn,5.74,0.08,761.69
st70,sa,0.88,0.0,1629.64
st70,ts,1.1,0.01,1594.54
ulysses22,ac,16.51,0.68,82.34
ulysses22,ga,1.97,0.02,117.89
ulysses22,nn,1.04,0.14,86.91
ulysses22,sa,0.88,0.0,84.94
ulysses22,ts,0.89,0.01,87.37
ch130,ac,114.06,15.61,24648.64
ch130,ga,11.24,0.37,43244.02
ch130,nn,10.33,0.22,7198.74
ch130,sa,1.26,0.0,22851.06
ch130,ts,1.36,1.17,23090.17
ch150,ac,134.51,0.65,30205.43
ch150,ga,13.76,0.06,50044.77
ch150,nn,13.28,0.09,7078.44
ch150,sa,1.01,0.0,27990.92
ch150,ts,1.38,0.01,27509.92
eil101,ac,82.84,0.28,1990.4
eil101,ga,10.81,0.07,3089.9
eil101,nn,11.31,0.15,736.37
eil101,sa,1.08,0.0,1716.49
eil101,ts,1.17,0.02,1494.58
kroA100,ac,82.1,15.96,78505.17
kroA100,ga,10.47,1.07,152174.44
kroA100,nn,11.01,0.05,24698.5
kroA100,sa,0.94,0.0,79318.32
kroA100,ts,1.31,0.01,75551.5
a280,ac,448.76,5.9,18607.5
a280,ga,43.64,2.15,32424.78
a280,nn,82.78,1.05,3100.56
a280,sa,1.54,0.06,19403.5
a280,ts,2.17,0.18,2818.62
d198,ac,261.36,7.4,66846.84
d198,ga,37.22,2.37,176761.57
d198,nn,43.03,1.44,17695.84
d198,sa,2.05,0.09,96784.31
d198,ts,2.53,0.14,22539.58
pcb442,ac,807.79,13.21,458575.77
pcb442,ga,77.46,15.04,725989.25
pcb442,nn,108.2,28.44,58952.97
pcb442,sa,1.53,1.52,504738.27
pcb442,ts,2.15,0.58,210117.31
rat195,ac,367.64,5.16,12431.72
rat195,ga,44.28,0.79,20887.11
rat195,nn,71.05,0.48,2628.56
rat195,sa,2.26,0.05,11874.78
rat195,ts,3.0,0.11,4007.75
rd400,ac,673.39,5.61,124304.25
rd400,ga,66.39,1.3,199913.04
rd400,nn,94.46,3.56,18303.3
rd400,sa,1.55,0.15,136505.73
rd400,ts,2.14,0.48,137849.46
